rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:01:05.04,-274.90,-2.44,988.28,-6.04,-18.84,10.98,-8.70,12.90,24.00,29.80,47.37,
01/01/2000,00:01:05.05,-215.33,-27.34,1027.34,3.60,-10.37,9.94,-7.50,12.90,23.25,29.90,47.40,
01/01/2000,00:01:05.05,-146.00,-57.62,1144.04,5.43,-9.94,19.63,-8.55,13.50,23.85,29.75,47.43,
01/01/2000,00:01:05.05,-152.34,-70.31,1315.92,-2.26,1.34,27.56,-9.60,12.00,22.35,29.56,47.46,
01/01/2000,00:01:05.05,-189.45,-30.76,1427.25,-10.18,9.76,28.54,-9.00,13.35,22.50,29.80,47.49,
01/01/2000,00:01:05.05,-179.20,-69.82,1435.55,-18.41,9.63,33.29,-8.55,10.50,24.15,29.61,47.52,
01/01/2000,00:01:05.05,-158.20,19.04,1289.06,-19.70,9.82,35.98,-9.00,10.95,24.75,30.09,47.54,
01/01/2000,00:01:05.05,-175.78,26.86,1276.37,-7.99,6.28,28.54,-9.30,11.55,23.55,29.90,47.57,
01/01/2000,00:01:05.05,-89.36,-34.18,1435.55,4.27,-0.67,13.48,-10.05,9.60,24.90,29.95,47.59,
01/01/2000,00:01:05.05,69.82,-129.88,1527.34,7.62,16.28,15.24,-9.75,9.90,22.50,29.95,47.62,
01/01/2000,00:01:05.05,61.04,-140.14,1430.66,2.80,23.60,23.17,-8.85,9.30,24.15,29.47,47.64,
01/01/2000,00:01:05.05,73.24,-135.25,1271.48,-1.22,24.82,20.24,-9.45,10.65,25.20,29.95,47.67,
01/01/2000,00:01:05.05,87.89,-94.24,1151.86,-1.22,20.37,15.67,-8.10,10.05,24.15,29.61,47.69,
01/01/2000,00:01:05.05,74.22,-21.00,1079.10,3.35,20.00,13.78,-8.55,10.05,24.15,29.90,47.71,
01/01/2000,00:01:05.05,33.20,22.95,974.61,9.57,18.11,7.62,-7.50,9.90,25.50,29.95,47.74,
01/01/2000,00:01:05.05,0.00,43.95,944.34,11.40,20.24,-1.46,-7.80,9.30,25.65,29.99,47.76,
01/01/2000,00:01:05.05,9.77,28.81,613.28,-1.59,-3.05,-4.76,-8.55,10.50,25.35,29.90,46.76,
01/01/2000,00:01:05.05,-0.98,34.18,584.96,4.94,4.27,3.29,-7.80,10.05,25.65,29.95,46.79,
01/01/2000,00:01:05.05,-40.04,6.84,583.01,7.56,8.96,12.20,-7.35,11.25,24.90,29.95,46.82,
01/01/2000,00:01:05.05,-51.76,-19.04,583.01,4.88,8.90,19.39,-7.20,9.45,25.80,29.90,46.85,
01/01/2000,00:01:05.05,-110.84,-6.35,586.43,5.85,10.61,21.89,-7.05,9.30,24.90,29.80,46.88,
01/01/2000,00:01:05.05,-169.43,5.86,597.66,6.83,8.23,21.95,-8.25,9.90,25.50,29.56,46.91,
01/01/2000,00:01:05.05,-206.54,-18.55,697.27,16.77,4.02,13.48,-7.35,10.05,24.60,29.95,46.94,
01/01/2000,00:01:05.05,-183.59,-56.15,820.31,22.99,4.88,8.29,-6.45,8.70,24.75,29.61,46.96,
01/01/2000,00:01:05.05,-187.99,-51.27,913.09,24.51,3.54,11.40,-7.80,8.85,24.90,29.95,46.99,
01/01/2000,00:01:05.05,-220.70,-20.51,1021.00,26.95,-0.55,3.41,-7.95,10.20,25.50,29.80,47.02,
01/01/2000,00:01:05.05,-240.23,2.44,1188.48,23.11,-10.00,-12.13,-7.80,9.60,24.60,29.61,47.04,
01/01/2000,00:01:05.05,-198.24,88.38,1362.30,19.09,-13.72,-27.50,-7.35,10.50,26.10,29.90,47.07,
01/01/2000,00:01:05.05,-94.24,45.41,1394.53,15.12,-27.99,-39.76,-6.75,9.90,24.75,29.66,47.09,
01/01/2000,00:01:05.05,-81.05,16.11,1356.93,12.01,-36.89,-43.05,-8.55,10.80,24.15,29.66,47.12,
01/01/2000,00:01:05.05,-25.88,18.55,1387.21,8.66,-32.80,-52.13,-7.95,11.40,22.95,29.56,47.14,
01/01/2000,00:01:05.05,-62.01,5.37,1570.80,10.85,-41.40,-61.71,-7.20,12.90,24.75,29.95,47.17,
01/01/2000,00:01:05.05,60.06,-83.01,1809.08,8.54,-31.65,-66.10,-8.25,13.35,24.00,29.90,47.17,
01/01/2000,00:01:05.05,202.64,-137.70,1813.48,-1.34,-4.21,-38.90,-9.60,13.95,22.05,29.66,47.19,
01/01/2000,00:01:05.05,164.06,-29.30,1541.99,-20.67,15.37,-5.37,-7.35,13.95,22.80,29.80,47.22,
01/01/2000,00:01:05.05,91.31,125.49,1157.71,-23.11,25.85,12.44,-8.10,15.15,23.55,29.99,47.24,
01/01/2000,00:01:05.05,26.37,195.31,902.34,-13.17,38.66,23.05,-8.55,14.25,25.35,29.80,47.26,
01/01/2000,00:01:05.05,-60.06,231.45,729.00,-1.89,46.40,24.15,-7.05,14.70,24.60,29.90,47.28,
01/01/2000,00:01:05.05,-172.36,221.68,663.57,2.99,41.34,8.78,-6.30,13.50,24.15,29.75,47.30,
01/01/2000,00:01:05.05,-212.40,172.36,613.77,0.30,29.09,-13.78,-6.45,14.55,24.45,29.99,47.32,
01/01/2000,00:01:05.05,-135.74,44.43,545.41,-5.79,3.78,-36.40,-5.10,12.45,25.65,29.90,47.11,
01/01/2000,00:01:05.05,-93.75,0.00,501.95,-9.82,-3.84,-42.50,-6.60,14.70,25.35,29.56,47.15,
01/01/2000,00:01:05.05,-23.93,-51.76,501.95,-9.88,3.17,-39.88,-4.80,13.95,26.40,29.75,47.15,
01/01/2000,00:01:05.05,-0.98,-71.29,520.51,-7.68,4.82,-30.98,-5.10,14.70,25.65,29.80,47.17,
01/01/2000,00:01:05.05,-34.18,-64.94,563.48,-2.13,4.76,-18.78,-5.10,13.20,25.35,29.95,47.19,
01/01/2000,00:01:05.05,-74.71,-72.27,655.76,1.34,-4.45,-10.43,-5.70,13.80,25.50,29.80,47.22,
01/01/2000,00:01:05.05,-131.84,-20.02,751.95,4.63,1.65,-1.46,-4.20,13.80,25.20,29.80,47.24,
01/01/2000,00:01:05.05,-210.45,23.44,860.35,9.51,-2.01,-0.37,-6.45,15.30,25.50,29.95,47.26,
01/01/2000,00:01:05.05,-248.05,46.39,983.40,12.38,-1.95,0.12,-4.65,14.55,26.25,29.47,47.28,
01/01/2000,00:01:05.05,-320.80,23.44,1109.86,6.89,-1.65,5.43,-5.10,14.70,24.15,29.99,47.29,
01/01/2000,00:01:05.05,-355.96,10.25,1232.91,-2.26,-12.26,1.34,-4.80,13.95,25.35,29.80,47.31,
01/01/2000,00:01:05.05,-225.10,-32.23,1272.95,-7.32,-15.55,4.57,-5.70,12.90,26.55,29.80,47.33,
01/01/2000,00:01:05.05,-128.42,-41.02,1399.41,-11.16,-16.22,29.39,-6.60,13.95,24.90,29.95,47.35,
01/01/2000,00:01:05.05,-124.02,11.72,1440.92,-14.76,10.24,49.39,-5.40,13.80,25.80,29.80,47.37,
01/01/2000,00:01:05.05,-122.07,87.89,1395.51,-18.48,17.26,49.76,-6.00,14.10,25.20,29.95,47.39,
01/01/2000,00:01:05.05,-164.06,186.52,1315.92,-9.15,9.27,47.74,-5.40,10.95,25.50,29.61,47.41,
01/01/2000,00:01:05.05,-203.61,147.95,1499.51,9.27,-12.38,16.59,-5.85,12.45,25.65,29.66,47.42,
01/01/2000,00:01:05.05,-29.79,-69.82,1754.88,12.44,-18.17,0.43,-6.30,13.95,26.85,29.95,47.44,
01/01/2000,00:01:05.05,106.45,-218.26,1763.67,6.04,1.59,9.70,-6.75,12.60,24.75,29.95,47.46,
01/01/2000,00:01:05.05,51.27,-187.50,1457.03,-11.46,11.52,28.05,-6.00,12.60,25.50,29.90,47.48,
01/01/2000,00:01:05.05,28.81,-155.27,1190.92,-19.63,6.28,22.56,-6.30,11.55,24.15,29.99,47.49,
01/01/2000,00:01:05.05,100.10,-106.45,954.59,-16.46,-1.22,17.87,-5.85,11.25,25.65,29.95,47.51,
01/01/2000,00:01:05.05,91.80,-77.15,895.51,-1.46,9.27,27.20,-5.85,10.50,23.85,29.80,47.53,
01/01/2000,00:01:05.05,17.58,-22.46,903.32,14.82,25.55,31.83,-6.75,10.65,25.20,29.95,47.54,
01/01/2000,00:01:05.05,-33.69,-7.32,851.56,10.79,23.48,31.40,-7.20,10.65,26.25,29.90,47.56,
01/01/2000,00:01:05.05,-41.99,27.83,407.23,7.07,11.65,23.84,-6.30,10.50,26.40,29.95,46.89,
01/01/2000,00:01:05.05,-79.59,60.06,434.08,15.30,6.34,26.34,-6.00,10.20,27.30,29.95,46.91,
01/01/2000,00:01:05.05,-53.22,42.48,520.02,13.84,0.73,31.65,-4.20,10.20,24.75,29.80,46.93,
01/01/2000,00:01:05.05,-60.55,39.06,482.42,12.32,-9.51,37.26,-6.30,11.55,26.10,29.95,46.95,
01/01/2000,00:01:05.05,-117.68,74.22,440.43,17.44,-17.74,30.98,-6.30,10.50,25.65,29.90,46.97,
01/01/2000,00:01:05.05,-140.14,56.64,593.75,20.24,-13.48,23.29,-7.50,12.15,26.25,29.95,46.99,
01/01/2000,00:01:05.05,-103.52,43.46,722.17,24.94,-16.46,11.40,-4.80,10.80,24.90,29.66,47.01,
01/01/2000,00:01:05.05,-62.99,0.00,985.84,32.87,-25.79,10.30,-7.20,9.90,25.20,29.90,47.03,
01/01/2000,00:01:05.05,-115.72,1.95,1290.53,35.12,-19.94,8.11,-7.35,12.45,25.65,29.66,47.04,
01/01/2000,00:01:05.05,-178.71,24.90,1579.10,31.71,-15.67,1.16,-7.20,12.90,25.20,29.80,47.06,
01/01/2000,00:01:05.05,-169.92,40.04,1649.41,9.63,-12.26,-10.12,-7.95,12.60,24.45,29.80,47.08,
01/01/2000,00:01:05.05,-109.86,42.48,1498.05,-5.43,-13.35,-23.05,-8.70,12.90,24.45,29.80,47.10,
01/01/2000,00:01:05.05,-72.75,48.83,1355.96,-10.24,-3.29,-24.39,-7.50,13.20,24.60,29.95,47.11,
01/01/2000,00:01:05.05,-170.90,77.64,1424.32,-3.05,-1.40,-29.27,-7.80,12.45,25.35,29.90,47.13,
01/01/2000,00:01:05.05,-219.24,41.50,1685.55,-3.23,-13.60,-48.41,-7.95,13.80,23.25,30.09,47.15,
01/01/2000,00:01:05.05,-30.27,-48.83,1872.56,-15.55,-29.21,-63.23,-6.60,12.45,23.55,29.80,47.16,
01/01/2000,00:01:05.05,201.66,-89.84,1737.79,-25.00,1.83,-40.98,-7.50,13.35,24.75,29.80,47.18,
01/01/2000,00:01:05.05,177.73,37.60,1435.55,-29.33,30.12,2.32,-7.05,13.95,24.15,29.99,47.20,
01/01/2000,00:01:05.05,92.29,152.34,1092.29,-29.57,38.72,13.84,-7.80,13.20,24.90,29.80,47.21,
01/01/2000,00:01:05.05,64.94,225.10,862.79,-27.07,42.62,21.40,-6.75,12.90,23.70,29.95,47.23,
01/01/2000,00:01:05.05,-11.72,220.70,694.82,-16.95,32.87,22.62,-7.05,10.80,23.85,29.61,47.24,
01/01/2000,00:01:05.05,-140.14,220.21,598.63,-8.66,31.04,17.80,-6.30,10.80,26.85,29.95,47.26,
01/01/2000,00:01:05.05,-185.06,156.74,579.59,-7.62,28.23,0.00,-6.00,10.95,25.20,29.80,47.27,
01/01/2000,00:01:05.05,-167.97,82.52,580.08,-13.84,16.16,-15.43,-4.65,10.20,25.80,29.95,47.29,
01/01/2000,00:01:05.05,-50.78,-18.55,452.64,-19.88,5.79,-25.00,-5.10,9.60,25.65,29.80,47.12,
01/01/2000,00:01:05.05,-30.76,-29.30,398.93,-16.89,9.15,-20.61,-5.85,10.80,27.45,29.56,47.14,
01/01/2000,00:01:05.05,-18.55,-19.53,393.07,-11.04,5.73,-16.95,-2.85,10.50,26.10,29.80,47.15,
01/01/2000,00:01:05.05,-32.71,-56.15,491.21,-2.26,-1.22,-10.43,-5.40,10.95,26.55,29.47,47.17,
01/01/2000,00:01:05.05,-84.96,-30.76,541.99,3.11,-5.98,-1.34,-4.80,10.80,26.85,29.95,47.18,
01/01/2000,00:01:05.05,-132.32,-47.85,663.09,11.10,-13.90,1.89,-5.70,9.90,25.50,29.90,47.20,
01/01/2000,00:01:05.05,-162.60,-44.43,826.17,10.24,-12.20,1.04,-3.30,10.80,26.85,29.61,47.21,
01/01/2000,00:01:05.05,-179.69,-38.09,959.96,7.26,-8.17,6.95,-4.20,12.90,25.20,29.75,47.23,
01/01/2000,00:01:05.05,-221.68,-91.80,1116.21,6.16,-15.12,10.18,-4.20,10.65,25.50,29.80,47.24,
01/01/2000,00:01:05.05,-261.23,-111.82,1274.90,-3.90,-17.93,15.67,-5.40,10.95,25.50,29.66,47.26,
01/01/2000,00:01:05.05,-199.71,-95.21,1310.55,-11.16,-17.74,30.06,-5.70,10.95,25.50,29.95,47.27,
01/01/2000,00:01:05.05,-215.82,-39.55,1389.65,-16.22,-8.78,39.09,-6.45,9.45,25.50,29.95,47.29,
01/01/2000,00:01:05.05,-181.15,1.46,1473.14,-19.21,0.61,48.54,-5.55,9.30,26.10,29.80,47.30,
01/01/2000,00:01:05.05,-168.46,53.71,1404.79,-26.46,0.73,54.39,-6.60,10.05,26.10,29.80,47.31,
01/01/2000,00:01:05.05,-197.27,146.48,1338.87,-19.39,-14.45,60.67,-7.35,9.30,25.65,29.95,47.33,
01/01/2000,00:01:05.05,-340.33,89.84,1521.48,2.38,-23.90,36.10,-6.00,7.95,25.50,29.66,47.34,
01/01/2000,00:01:05.05,-114.75,-102.05,1737.79,3.60,-17.68,12.56,-7.35,8.10,25.65,29.90,47.36,
01/01/2000,00:01:05.05,86.91,-195.80,1532.23,-5.30,-3.96,23.05,-8.25,8.25,24.45,30.09,47.37,
01/01/2000,00:01:05.05,88.38,-163.09,1247.56,-1.22,22.68,38.66,-6.75,7.50,25.80,29.95,47.38,
01/01/2000,00:01:05.05,47.85,-130.37,1041.02,4.88,26.28,43.66,-8.25,9.45,25.20,29.66,47.39,
01/01/2000,00:01:05.05,-12.21,-105.47,1031.74,13.66,13.72,38.66,-6.45,8.70,24.75,29.95,47.41,
01/01/2000,00:01:05.05,-45.41,-87.40,1088.87,10.91,1.77,28.90,-8.85,8.55,24.90,29.99,47.42,
01/01/2000,00:01:05.05,-57.62,-59.08,993.65,1.71,1.34,21.95,-5.70,7.95,25.80,29.66,47.43,
01/01/2000,00:01:05.05,-70.31,-23.44,805.18,-1.10,4.63,17.32,-7.20,7.05,27.00,29.80,47.45,
01/01/2000,00:01:05.05,-30.76,23.44,472.17,-6.71,-12.44,15.67,-6.60,6.60,27.15,29.80,46.96,
01/01/2000,00:01:05.05,8.79,-4.88,432.13,-3.72,-11.22,20.79,-7.95,6.30,25.50,29.80,46.97,
01/01/2000,00:01:05.05,-29.30,31.74,433.11,5.18,-1.34,32.20,-6.60,6.60,26.10,29.80,46.99,
01/01/2000,00:01:05.05,-109.86,50.78,495.12,12.50,0.73,34.57,-7.05,5.40,26.10,29.80,47.00,
01/01/2000,00:01:05.05,-131.35,30.27,602.54,12.20,-15.43,30.30,-7.50,6.30,25.50,29.75,47.01,
01/01/2000,00:01:05.05,-122.07,6.35,707.03,7.50,-14.02,26.22,-7.95,6.30,26.25,29.90,47.03,
01/01/2000,00:01:05.05,-134.77,-12.21,794.92,11.83,-12.87,19.94,-9.30,4.65,24.60,29.75,47.04,
01/01/2000,00:01:05.05,-155.76,-6.84,950.20,22.56,-21.95,11.52,-9.00,6.75,25.20,29.95,47.06,
01/01/2000,00:01:05.05,-131.35,-62.01,1287.11,26.83,-20.37,6.59,-9.60,6.15,24.90,29.56,47.07,
01/01/2000,00:01:05.05,-126.46,-46.88,1526.86,23.29,-4.82,12.44,-8.85,7.35,24.60,29.80,47.08,
01/01/2000,00:01:05.05,-198.24,-21.97,1550.29,12.68,-7.74,7.26,-9.75,5.55,24.75,29.80,47.10,
01/01/2000,00:01:05.05,-183.59,28.32,1396.97,-0.67,-8.96,-12.38,-10.80,7.35,25.65,29.90,47.11,
01/01/2000,00:01:05.05,-40.04,6.84,1339.84,6.22,-9.94,-22.07,-8.55,7.35,24.90,29.95,47.12,
01/01/2000,00:01:05.05,-50.29,-22.95,1437.01,13.35,0.61,-19.02,-8.70,7.50,24.75,29.80,47.14,
01/01/2000,00:01:05.05,-159.67,-27.83,1627.44,12.32,-6.65,-34.51,-9.30,7.65,24.15,29.75,47.15,
01/01/2000,00:01:05.05,-38.57,-112.79,1754.39,-4.88,-11.95,-48.17,-10.95,8.25,24.75,29.56,47.16,
01/01/2000,00:01:05.05,184.08,-115.23,1558.11,-18.23,-1.77,-32.13,-11.10,7.65,23.55,29.80,47.17,
01/01/2000,00:01:05.05,220.21,8.30,1304.69,-18.66,17.38,0.18,-10.35,7.35,24.60,29.95,47.19,
01/01/2000,00:01:05.05,68.85,130.37,1071.29,-11.10,41.40,18.11,-9.00,7.05,25.50,29.90,47.20,
01/01/2000,00:01:05.05,10.25,176.76,904.79,-14.63,38.90,16.40,-7.80,6.90,24.90,29.95,47.21,
01/01/2000,00:01:05.05,-16.11,151.37,732.42,-15.06,17.87,11.10,-8.70,7.50,24.75,29.80,47.22,
